fleet;metier;country_name;Benthis ;Factor
BE_Beam>=24;BT1.4;Belgium;TBB_DMF;1
BE_Beam>=24;BT2.4;Belgium;TBB_DMF;1
BE_Beam>=24;BT2.7D;Belgium;TBB_DMF;1
BE_Beam<24;BT2.4;Belgium;TBB_DMF;1
BE_Beam<24;BT2.7D;Belgium;TBB_DMF;1
BE_Otter;TR1.4;Belgium;OT_DMF;0.92
BE_Otter;TR1.4;Belgium;SSC_DMF;0.08
BE_Otter;TR2.4;Belgium;OT_CRU;0.8
BE_Otter;TR2.4;Belgium;SSC_DMF;0.2
DK_<10towed;TR2.3AN;Denmark;OT_CRU;1
DK_Otter>=24;TR1.3AN;Denmark;OT_DMF;1
DK_Otter>=24;TR1.4;Denmark;OT_DMF;1
DK_Otter>=24;TR2.3AN;Denmark;OT_CRU;1
DK_Otter>=24;TR2.4;Denmark;OT_CRU;1
DK_Otter<24;TR1.4;Denmark;OT_DMF;1
DK_Otter<24;TR2.3AN;Denmark;OT_CRU;1
DK_Otter<24;TR2.4;Denmark;OT_CRU;1
DK_Seine;TR1.3AN;Denmark;SDN_DMF;0.66
DK_Seine;TR1.3AN;Denmark;SSC_DMF;0.33
DK_Seine;TR1.4;Denmark;SSC_DMF;1
EN_<10;TR2.4;United Kingdom;OT_CRU;1
EN_<10;TR2.7D;United Kingdom;OT_DMF;1
EN_Beam;BT1.4;United Kingdom;TBB_DMF;1
EN_Beam;BT2.4;United Kingdom;TBB_DMF;1
EN_Beam;BT2.7D;United Kingdom;TBB_DMF;1
EN_Otter>=40;TR1.4;United Kingdom;OT_DMF;1
EN_Otter<24;TR1.4;United Kingdom;OT_DMF;1
EN_Otter<24;TR1.7D;United Kingdom;OT_DMF;1
EN_Otter<24;TR2.4;United Kingdom;OT_CRU;1
EN_Otter<24;TR2.7D;United Kingdom;OT_DMF;1
EN_Otter24-40;otter_oth.4;United Kingdom;SSC_DMF;0.8
EN_Otter24-40;otter_oth.4;United Kingdom;SDN_DMF;0.2
EN_Otter24-40;otter_oth.7D;United Kingdom;SSC_DMF;0.9
EN_Otter24-40;otter_oth.7D;United Kingdom;SDN_DMF;0.1
EN_Otter24-40;TR1.4;United Kingdom;OT_DMF;1
FR_<10;TR2.7D;France;OT_DMF;1
